Year,Month,Avg_Close,Year_Month_High,Year_Month_Low,Total_Volume
2010,6,1.59,2.03,1.17,539301000
2010,7,1.3,1.73,1.0,968637000
2010,8,1.3,1.48,1.16,225573000
2010,9,1.38,1.54,1.3,270688500
2010,10,1.38,1.46,1.33,98217000
2010,11,1.94,2.4,1.4,424726500
2010,12,2.02,2.43,1.67,553393500
2011,1,1.71,1.91,1.49,426301500
2011,2,1.56,1.7,1.41,439552500
2011,3,1.58,1.91,1.45,488449500
2011,4,1.74,1.88,1.61,448423500
2011,5,1.84,2.02,1.7,455232000
2011,6,1.86,2.1,1.7,595909500
2011,7,1.89,2.03,1.78,316531500
2011,8,1.65,1.95,1.43,408235500
2011,9,1.64,1.8,1.49,270322500
2011,10,1.83,2.0,1.53,324939000
2011,11,2.14,2.33,1.87,387702000
2011,12,2.0,2.33,1.74,316927500
2012,1,1.83,2.0,1.51,384148500
2012,2,2.18,2.33,1.93,347904000
2012,3,2.35,2.66,2.17,332452500
2012,4,2.23,2.56,2.07,341293500
2012,5,2.05,2.31,1.79,512779500
2012,6,2.04,2.3,1.81,391906500
2012,7,2.07,2.4,1.81,488151000
2012,8,1.94,2.09,1.7,367231500
2012,9,1.95,2.19,1.82,499426500
2012,10,1.89,2.01,1.79,264313500
2012,11,2.12,2.29,1.88,356413500
2012,12,2.28,2.39,2.18,325714500
2013,1,2.35,2.58,2.14,426969000
2013,2,2.49,2.67,2.25,663840000
2013,3,2.47,2.63,2.28,444825000
2013,4,3.08,3.88,2.68,1223221500
2013,5,5.43,7.66,3.53,4968313500
2013,6,6.7,7.35,5.88,2686720500
2013,7,8.21,9.17,6.97,3442923000
2013,8,10.03,11.53,8.82,3888999000
2013,9,11.6,12.97,10.57,2568159000
2013,10,11.65,12.95,10.2,3876822000
2013,11,9.15,12.1,7.74,4625827500
2013,12,9.65,10.53,8.26,2964568500
2014,1,10.94,12.4,9.11,2758984500
2014,2,13.73,17.67,11.29,3389311500
2014,3,15.54,17.33,13.53,2500284000
2014,4,13.89,15.72,12.29,2478117000
2014,5,13.31,14.58,11.81,2022151500
2014,6,14.64,16.3,13.28,1850440500
2014,7,14.88,16.23,14.24,1619290500
2014,8,17.04,18.13,15.07,1722708000
2014,9,17.66,19.43,16.01,1992724500
2014,10,15.96,17.7,14.49,2280787500
2014,11,16.44,17.33,15.23,1615827000
2014,12,14.58,16.16,12.84,1904193000
2015,1,13.55,14.88,12.33,1353076500
2015,2,14.04,15.03,12.89,1600762500
2015,3,12.98,13.75,12.09,1844851500
2015,4,14.11,15.92,12.4,1484176500
2015,5,16.15,16.86,14.68,1336917000
2015,6,17.13,18.09,16.38,982096500
2015,7,17.77,19.11,16.72,1200915000
2015,8,16.3,18.07,13.0,1728961500
2015,9,16.86,18.1,15.8,1204321500
2015,10,14.8,16.66,13.47,1512180000
2015,11,14.73,15.64,13.72,1177326000
2015,12,15.34,16.24,14.32,897682500
2016,1,13.64,15.43,12.16,1188708000
2016,2,11.31,13.3,9.4,2005587000
2016,3,14.41,15.99,12.1,1543830000
2016,4,16.73,17.96,15.55,2032609500
2016,5,14.44,16.21,13.58,1549612500
2016,6,14.32,16.06,12.52,1825092000
2016,7,14.89,15.69,13.73,1110958500
2016,8,14.92,15.78,13.91,934366500
2016,9,13.48,14.07,12.9,1059478500
2016,10,13.45,14.38,12.8,1381992000
2016,11,12.61,13.29,11.88,1483290000
2016,12,13.37,14.92,12.0,1319901000
2017,1,15.95,17.23,14.06,1510194000
2017,2,17.58,19.16,16.13,1793100000
2017,3,17.21,18.8,16.19,1605529500
2017,4,20.32,20.99,18.97,1754259000
2017,5,21.1,22.86,19.38,2220694500
2017,6,24.39,25.8,22.28,2789266500
2017,7,21.92,24.76,20.21,2724600000
2017,8,23.39,24.67,20.75,2054124000
2017,9,23.86,25.97,22.36,1672690500
2017,10,22.98,24.2,21.11,1845550500
2017,11,20.68,22.17,19.51,2232192000
2017,12,21.52,23.16,20.0,1648270500
2018,1,22.57,24.03,20.38,1864072500
2018,2,22.39,24.0,19.65,1637850000
2018,3,21.07,23.24,16.55,2359027500
2018,4,19.32,20.63,16.31,2854662000
2018,5,19.32,20.87,18.23,2333671500
2018,6,22.37,24.92,18.92,3201376500
2018,7,20.8,24.32,19.08,2584923000
2018,8,22.08,25.83,19.21,4160403000
2018,9,19.34,21.0,16.82,2941131000
2018,10,19.0,23.14,16.52,4295410500
2018,11,22.97,24.45,21.67,1995286500
2018,12,22.94,25.3,19.61,2196768000
2019,1,21.23,23.47,18.62,2634781500
2019,2,20.52,21.62,19.25,1928251500
2019,3,18.52,20.48,16.96,3206902500
2019,4,17.78,19.74,15.41,3461209500
2019,5,14.65,17.22,12.27,4238982000
2019,6,14.25,15.65,11.8,3224559000
2019,7,16.16,17.74,14.81,2990050500
2019,8,15.01,16.3,14.07,2006859000
2019,9,15.82,16.9,14.56,2036629500
2019,10,17.76,22.72,14.95,3419739000
2019,11,22.55,24.08,20.62,2366562000
2019,12,25.18,29.02,21.82,3106200000
2020,1,35.24,43.53,28.11,6108277500
2020,2,53.16,64.6,40.77,7088802000
2020,3,37.27,53.8,23.37,6314025000
2020,4,44.24,57.99,29.76,5722162500
2020,5,53.3,56.22,45.54,4090554000
2020,6,64.24,72.51,56.94,3836590500
2020,7,97.34,119.67,72.03,5679502500
2020,8,120.02,166.71,91.0,4672135200
2020,9,137.83,167.5,109.96,5208854400
2020,10,142.4,155.3,126.37,2500999200
2020,11,155.2,202.6,130.77,2347796400
2020,12,212.94,239.57,180.4,3589038000
2021,1,276.26,300.13,239.06,2117084400
2021,2,264.76,293.5,206.33,1568573700
2021,3,218.93,240.37,179.83,2827357200
2021,4,236.54,260.26,219.81,2035619100
2021,5,205.58,235.33,182.33,1875527400
2021,6,208.97,232.54,190.41,1559765700
2021,7,219.71,233.33,206.82,1345349400
2021,8,235.08,246.8,216.28,1143974700
2021,9,251.32,266.33,236.28,1170513900
2021,10,292.78,371.74,254.53,1586803800
2021,11,373.55,414.5,326.2,1947334500
2021,12,339.63,390.95,295.37,1530167700
2022,1,336.72,402.67,264.0,1916006400
2022,2,292.96,315.92,233.33,1391126700
2022,3,304.79,371.59,252.01,1729272900
2022,4,332.46,384.29,273.9,1520959800
2022,5,255.22,318.5,206.86,1948221600
2022,6,234.03,264.21,208.69,2011227900
2022,7,251.39,298.32,216.17,1744884000
2022,8,294.87,314.67,271.81,1695263200
2022,9,288.73,313.8,262.47,1299271000
2022,10,223.81,257.5,198.59,1735263100
2022,11,191.25,237.4,166.19,1885275300
2022,12,152.97,198.92,108.24,2944247700
2023,1,134.2,180.68,101.81,3897499400
2023,2,199.78,217.65,169.93,3624845100
2023,3,188.52,207.79,163.91,3311619900
2023,4,176.96,202.69,152.37,2505176300
2023,5,175.8,204.48,158.83,2682606200
2023,6,246.09,276.99,199.37,3442689200
2023,7,273.51,299.29,254.12,2393089100
2023,8,242.33,266.47,212.36,2502358000
2023,9,256.97,278.98,234.58,2440441700
2023,10,236.91,268.94,194.07,2591021000
2023,11,229.41,252.75,197.85,2651052200
2023,12,247.14,265.13,228.2,2295511900
2024,1,216.13,251.25,180.06,2344213400
2024,2,192.79,205.6,175.01,2019844700
2024,3,176.16,204.52,160.51,1899578200
2024,4,165.87,198.87,138.8,2481452200
2024,5,177.23,187.56,167.75,1668119300
2024,6,182.22,203.2,167.41,1405077400
2024,7,240.62,271.0,200.85,2946114300
2024,8,209.01,231.87,182.0,1618373100
2024,9,235.16,264.86,209.64,1611148200
2024,10,238.78,273.54,212.11,1910807800
2024,11,318.22,361.93,238.88,2091452000
2024,12,415.96,488.54,348.2,1903365900
2025,1,405.02,439.74,373.04,1510371900
2025,2,343.34,394.0,273.6,1581998600
2025,3,255.81,303.94,217.02,2718957500
2025,4,257.15,294.86,214.25,2957985600
2025,5,323.86,367.71,271.0,2195384900
2025,6,323.89,357.54,273.21,2428761900
2025,7,314.99,338.0,288.77,2157408700
2025,8,331.14,355.39,297.82,1603195500
2025,9,395.89,450.98,325.6,1973602100
2025,10,441.33,470.75,411.45,2032095000
2025,11,424.54,474.07,382.78,1628434400
2025,12,461.52,498.83,422.12,1635943900
2026,1,438.5,458.34,417.44,1109503900
