Year,Avg_Volume,Volume_High,Volume_Low
2010,23696434.62,281494500.0,1777500.0
2011,19359232.14,172767000.0,3594000.0
2012,18446940.0,85206000.0,5473500.0
2013,126115827.38,557458500.0,6603000.0
2014,103709601.19,490225500.0,19983000.0
2015,64774869.05,234744000.0,10620000.0
2016,69188196.43,356136000.0,24892500.0
2017,95021796.81,296871000.0,32800500.0
2018,129181601.59,504745500.0,46210500.0
2019,137383833.33,450091500.0,36984000.0
2020,225923862.45,914082000.0,52073100.0
2021,82174886.9,268189500.0,29401800.0
2022,86936333.07,221923300.0,41864700.0
2023,137351640.0,306590600.0,65125200.0
2024,94839470.24,243869700.0,37167600.0
2025,97696560.0,287499800.0,36252900.0
2026,61639105.56,89093800.0,37733100.0
