Year,Avg_volatility,Highest_Volatility,Lowest_Volatility,Price_Year
2010,0.1,2.43,1.0,1.43
2011,0.08,2.33,1.41,0.93
2012,0.08,2.66,1.51,1.15
2013,0.34,12.97,2.14,10.83
2014,0.55,19.43,9.11,10.32
2015,0.47,19.11,12.09,7.02
2016,0.48,17.96,9.4,8.55
2017,0.58,25.97,14.06,11.91
2018,0.88,25.83,16.31,9.52
2019,0.6,29.02,11.8,17.22
2020,5.53,239.57,23.37,216.21
2021,11.01,414.5,179.83,234.67
2022,14.06,402.67,108.24,294.43
2023,8.96,299.29,101.81,197.48
2024,10.09,488.54,138.8,349.74
2025,16.03,498.83,214.25,284.58
2026,12.79,458.34,417.44,40.9
